"t","X"
0,1.04526041865072
1,0.788168629439048
2,0.791501228013412
3,0.922868151622827
4,1.00528569404883
5,1.1416373448961
6,1.39417372664291
7,1.53631882356789
8,1.68145012242986
9,1.81999620859849
10,1.77498200639976
11,1.69632999793552
12,1.52253575118235
13,1.07317164642773
14,0.881564700216016
15,0.920933946713963
16,0.871505759105093
17,0.938309037489518
18,0.986275625679064
19,1.16691463736591
20,1.27469066917479
21,1.50040558041978
22,1.81129973084606
23,1.83950630065726
24,1.87770169240265
25,1.51772312704491
26,1.17633612453721
27,1.01920249600002
28,0.863605996552229
29,0.870309698675384
30,0.9389099497974
31,0.911767345861245
32,1.03805115269181
33,1.37455069531146
34,1.50116584730333
35,1.61467502095531
36,1.57394152321176
37,1.80277913863253
38,1.72265691555915
39,1.46132200354136
40,1.13181114257844
41,0.831877562716259
42,0.880176816765334
43,0.869374354739368
44,0.733025224119386
45,1.13876763766507
46,1.11861150131266
47,1.40332059125105
48,1.54351166087397
49,1.74547962224837
50,1.74187510693585
51,1.76500264635839
52,1.60758886374414
53,1.30686451360984
54,1.1825799547908
55,0.971566168761178
56,0.880794198132122
57,0.854296886415564
58,0.892001371703035
59,1.03646174204353
60,1.32396391317258
61,1.3892905776194
62,1.62421085379708
63,1.69582663506576
64,1.72804455590833
65,1.70756639481438
66,1.47043277388875
67,1.22159521468746
68,0.905245159231398
69,0.714908595993441
70,0.913910109073772
71,0.928567354417508
72,1.01599606969053
73,1.14802236807105
74,1.28730077809693
75,1.48796065881537
76,1.66720471448218
77,1.7282354799685
78,1.79650334809527
79,1.6512743746424
80,1.2846197473845
81,0.918521573943636
82,0.783645746379065
83,0.777218752762239
84,0.778744154697642
85,0.943979030130585
86,1.0972017224765
87,1.18735749467783
88,1.46537518305158
89,1.58864651598599
90,1.78094373994895
91,1.78091598084971
92,1.71007148807656
93,1.49833426085393
94,1.19339314342252
95,1.02733085746274
96,0.927067606955045
97,0.922389216774539
98,0.883920904419362
99,1.08879488100138
100,1.12542192695039
